Geography,year,GDP,labor_part,PCI,HPI,purch_orig,refi_orig,hsng_affrdblty,migration_qtr,total_pop
Alabama,1992,82.42169,62.349538562011716,17502.7275390625,158.12420465,23.702314022,20.833762975,151.3668125,38.38643266,4161.85975
Alabama,1993,86.044995,62.75749867126465,18055.91068359375,164.8660855,24.502361534,27.864517096,159.59327,36.154646,4220.112676000001
Alabama,1994,91.14979,62.79580139373779,18916.802734375,170.841736575,23.636585977,6.327677667,148.61901,22.76528249,4264.830043
Alabama,1995,96.2802925,63.561678767089845,19846.5283203125,177.730188375,20.909771542999998,9.000379281,142.017075,18.683479,4301.03344325
Alabama,1996,100.1744235559082,63.5507825,20546.451953125,184.987688525,25.264908478000002,9.357449966,141.1148225,20.004199641,4335.646123
Alabama,1997,104.21800163574218,64.4403925,21455.3023046875,191.839069,26.977626,8.728665471,141.9896,21.59464,4372.802250000001
Alabama,1998,109.41399955749512,63.952585,22633.53125,201.718975925,34.723102,29.301189293,150.3000725,14.495617229,4407.8835
Alabama,1999,115.01499930725097,63.685741058349606,23258.37478515625,206.87443965,36.966924,17.393155845,146.04677750000002,6.909092794999999,4433.00839425
Alabama,2000,119.02000045776367,63.154308744506835,24246.5895703125,212.102142825,33.629554,10.25294808,136.0519675,3.483738795,4454.2224315
Alabama,2001,122.82200082702636,62.349657572021485,24993.324960937498,223.839625975,34.736007512,40.603039249999995,144.66683749999999,-1.423367828,4468.9184705
Alabama,2002,127.87299922790527,61.8748175,25468.4925,230.419457375,34.385729,44.25672555,146.6098375,7.051279663,4483.001414
Alabama,2003,134.38800167236326,61.986556209716795,26492.8001953125,239.553656625,43.5955806,67.773573629,158.93381,16.006285869,4506.777047
Alabama,2004,146.9889978088379,62.06941636077881,28341.9328125,248.7206865,42.25488007,36.5340853,151.620215,20.609825411,4535.239129
Alabama,2005,156.7505,61.640358627929686,29707.46388671875,266.2539716,47.47501871,35.146628,142.528455,32.09612,4584.0431095
Alabama,2006,164.46825,61.48126,31272.14,287.345890475,52.15224,34.491708,131.6957225,27.356499,4635.153
Alabama,2007,169.9235,61.0941175,32540.25,300.963519025,51.2586,38.853944,137.546625,25.175061,4678.5995
Alabama,2008,172.646,60.53402,33392.825,304.4587095,34.688537,39.629346,149.5701325,28.01484,4723.4442500000005
Alabama,2009,168.3145,59.661955000000006,32658.67,299.93567782499997,27.598065,57.14941,171.8186725,19.809213,4761.782
Alabama,2010,174.71025,59.458185,33685.417499999996,288.84983357500005,23.290165000000002,43.2619,177.6846275,7.2249481,4787.08475
Alabama,2011,180.66475,59.009315,34702.84,278.960724875,21.662332,32.494566,197.52200249999999,2.1071834,4800.60525
Alabama,2012,185.8785,57.94689,35484.165,277.811350575,24.618901,50.31621,214.627445,6.3513280000000005,4815.679
Alabama,2013,190.319,57.3648675,35779.935,275.741362475,28.258003000000002,42.877459,205.7732625,4.9737021,4829.228999999999
Alabama,2014,193.99475,56.9038525,36892.2675,280.002437975,28.726984,19.553411,191.95084500000002,3.1918993,4841.428
Alabama,2015,200.42125,56.647525,38228.3175,288.48893105,33.663723,24.874242,201.27558249999998,2.7060181,4852.0035
Alabama,2016,205.62574999999998,56.90876,38904.994999999995,298.158439625,38.786532,31.063615,200.1283175,4.576952,4862.14125
Alabama,2017,215.13850000000002,56.812045,39926.009999999995,308.39010867499996,40.596602000000004,18.784906,193.41107499999998,12.492844,4877.30975
Alabama,2018,221.92615,56.532225,40725.880000000005,315.5572449,20.57037,8.815226,184.8859,8.127879,4892.553
Alaska,1990,23.51480659729004,72.13100385131835,22776.37482421875,111.6777634675,4.331911922,0.778156105,145.4261975,1.0417479219999999,555.366125
Alaska,1991,20.900417804718018,72.43927870239258,23048.4880859375,127.25896220000001,5.011508464,2.318281625,130.9266925,9.139493943,572.675275
Alaska,1992,21.411749198760987,72.76184,23878.71205078125,133.1585251,6.890067175,6.052689224,154.591985,5.148027599,590.18635
Alaska,1993,21.981210699005125,73.23860368591309,24730.156171875,135.870782275,8.141365171,9.352322697,167.6144875,-2.472781763,599.97918675
Alaska,1994,22.15609962753296,73.9051213684082,25401.630859375,141.9838936,4.472952767,1.842146458,151.23699249999999,-7.196855464,603.3535845
Alaska,1995,23.724948573303223,73.18258748779297,26016.9599609375,148.01891080000001,5.062679291,0.940159438,148.951485,-5.738590357,604.9592873
Alaska,1996,24.813310610046386,73.64569862243653,26543.64392578125,154.89759045,5.20754725,1.8193210930000001,146.0331275,-3.8139330620000003,609.04411215
Alaska,1997,25.44600039505005,73.94296,27769.62451171875,159.080928625,5.853040188,1.468905092,142.436955,-2.257544715,613.889335025
Alaska,1998,24.029999913330077,74.019215,28740.9268359375,163.9555813,7.912529707000001,7.087769627,156.0910825,-1.573263553,620.5803865
Alaska,1999,24.68399953842163,73.4741575,29481.29130859375,169.70948805,6.966045321,2.912399865,147.76073250000002,-4.104811536,625.132105075
Alaska,2000,26.85300042526245,73.257555,31618.3074609375,172.622267575,6.840765279,0.965297116,138.2738925,-3.510159604,628.5930491
Alaska,2001,28.553000363769534,72.5192325,33044.8890625,181.1685512,8.242833502,5.869423174,149.0276925,0.39817696999999996,634.90751145
Alaska,2002,29.762999963226317,72.20363861083985,34238.0819140625,191.038363575,8.8235569,10.079598832,149.5753525,-0.3100061169999999,642.939275
Alaska,2003,32.039000458984376,72.1068186541748,35508.901484375,200.3327324,11.081834554,16.355439341,155.3366,0.94742419,649.887025
Alaska,2004,35.195000648498535,71.49208112365723,36737.973515624995,220.5193328,11.167481685,7.732203602,143.21290249999998,2.024309742,660.21345
Alaska,2005,40.06325,71.74688,38805.075,247.86534634999998,12.382541954,7.829375625,128.1528,-0.12781345299999997,668.12605
Alaska,2006,44.6785,71.3510175,40810.854999999996,272.18636192500003,12.166225,7.612506,116.7279075,-1.369464,675.8439
Alaska,2007,49.1965,70.7431675,43668.275,282.920973075,11.085676,8.069485,113.933785,-2.5425721,681.131175
Alaska,2008,55.46125,70.9849375,47697.354999999996,281.705102,8.930751,7.633458,132.0119675,0.7216002,688.78205
Alaska,2009,50.46275,70.24936,46693.43,280.23450464999996,8.851187,15.672219,159.326575,6.1351217,700.99045
Alaska,2010,54.13425,69.7715225,48545.86,278.482956775,7.380416,11.470908999999999,156.060905,4.0148276,714.99995
Alaska,2011,58.759249999999994,69.1369875,51357.1925,280.810458625,6.783688,9.483093,151.7561125,0.208142,723.357675
Alaska,2012,60.89025,68.25629749999999,52603.4425,282.1629361,7.584315,14.30318,174.1372875,0.8838376,731.707675
Alaska,2013,59.80775,67.801165,51465.59,291.13136384999996,8.743616,9.64316,172.26457,-4.9262894,736.723825
Alaska,2014,58.195750000000004,67.658095,54614.87,297.393096075,8.989037,3.6116109,160.7961525,-7.630796,736.84125
Alaska,2015,53.311,66.888155,56467.3375,307.996091075,9.840521,5.502018,170.1260475,-4.0059825,738.49755
Alaska,2016,50.40375,66.055115,55672.7625,314.594000275,10.244211,6.760236,153.41516000000001,-4.6349056,741.5339
Alaska,2017,51.9416475,66.69815249999999,55828.9075,320.96139585,10.364799,2.8008639,146.0396325,-8.032748,740.375625
Alaska,2018,53.1961,66.471355,57189.2,328.58940075,5.255882,1.9046565,141.75675,-1.7250478999999999,741.57205
Arizona,1990,73.80201112609863,64.2863125,17144.3603515625,133.438742075,26.754269862,4.772736764999999,121.35607,36.923407773,3696.880316
Arizona,1991,76.55761749999999,63.27169884521485,17500.16208984375,136.46265069999998,30.158572445,13.716616469,128.7537225,77.06273867,3804.1686799999998
Arizona,1992,86.5733175,63.34719,18043.71373046875,140.5748833,36.35998052,31.910733363,144.83738499999998,96.59354576999999,3933.904373
Arizona,1993,93.800485,63.38635500640869,18696.805859375,143.90002835,51.25401879,58.94069946,157.06949,126.38181506000001,4087.61311525
Arizona,1994,104.82626914978027,65.476335,19638.70947265625,151.158787925,51.32512899,12.446252429,155.59908000000001,149.48853735,4269.352165
Arizona,1995,114.00281143188477,66.655835,20502.69970703125,159.84112942500002,48.49169349,16.2895517,152.70141999999998,130.74515915,4451.75750175
Arizona,1996,123.42654370422363,65.97866866516114,21481.88341796875,167.528916375,58.58496952,18.772410511,145.1072775,106.95832752,4605.7283095
Arizona,1997,132.70800018310547,64.398955,22589.9607421875,174.216694825,58.03951922,19.140040753,143.3584875,105.42915550000001,4755.440077
Arizona,1998,143.76799749145508,64.85280860839843,23983.69720703125,183.40285515,79.39661964,71.24417973,149.76742,98.63248511,4900.78482425
Arizona,1999,156.14499959716795,65.64095091125489,24695.197109375,192.506734025,89.99292222,38.4981601,147.443005,95.81895065,5041.5961475
Arizona,2000,165.91199694213867,65.23437374450683,26160.9003125,204.167824975,91.50853157,17.698381128,132.0299425,75.75690528,5174.2533945
Arizona,2001,172.2880004272461,65.49034499999999,26686.154375,217.690535025,105.19508901,107.7826153,140.0448975,70.78404085,5289.2054315
Arizona,2002,179.60500083007813,65.98274500000001,27084.46009765625,229.5400925,107.2456846,139.26719628,139.0584825,71.20784777,5410.0456269999995
Arizona,2003,192.68500227050782,65.51309851135254,28077.8033984375,242.76094799999998,137.24090357,205.52763654999998,144.13199,74.75625449,5527.2269005
Arizona,2004,204.13600014648438,64.94329,29850.136972656248,273.253853875,155.39238469,113.62048169,132.5529125,116.91244406000001,5675.75533975
Arizona,2005,227.35750000000002,64.52014750000001,32142.223378906252,354.764697425,228.05103,210.39808013,100.03160224999999,145.63761,5864.398
Arizona,2006,248.45925,64.583915,34604.17,420.571324625,201.93953,189.18233,89.96163925,107.21617,6046.2315
Arizona,2007,262.04525,63.8516475,35662.3275,415.939075875,137.28413,145.00189,98.8669735,68.97271,6182.99375
Arizona,2008,256.71875,63.8096325,35676.0275,357.586749725,78.17358999999999,76.31695,136.09956749999998,33.169762,6287.80125
Arizona,2009,242.50900000000001,63.1549125,33703.104999999996,300.161632325,67.45714000000001,95.26031,188.59917000000002,11.3061963,6351.3507500000005
Arizona,2010,245.66775,62.715505,33529.340000000004,263.48282045,52.910306,70.42498,190.174625,19.503043,6413.69825
Arizona,2011,254.19225,61.405429999999996,34874.2025,235.052904375,49.98292,54.464304999999996,222.004415,31.534786,6475.70975
Arizona,2012,264.6925,60.34407,36047.885,244.55160562499998,56.69612,131.01712,212.55213,39.398645,6552.7225
Arizona,2013,270.4685,59.6309725,36541.4325,278.14933545,70.86624,104.60249,175.06868,43.519225,6627.421
Arizona,2014,281.03075,59.813027500000004,38058.5625,304.1536416,73.14797,46.454499999999996,164.0462575,58.40958,6718.1925
Arizona,2015,292.9715,60.067522499999995,39651.8725,323.147304275,88.96792,73.05893,160.7231225,69.72395,6815.5154999999995
Arizona,2016,305.849,60.19513499999999,40465.3,345.853626575,113.10271,98.71673,159.523685,81.32589,6922.31875
Arizona,2017,319.997925,60.6292975,41223.9275,376.992779575,119.17375,55.091229999999996,149.1458725,82.09613999999999,7031.15525
Arizona,2018,332.50469999999996,60.53935,42137.315,394.6905507,61.00711,23.68777,139.61855500000001,50.311409999999995,7122.097
Arkansas,1990,39.42650497589111,63.54092855957031,14613.743486328125,128.12696822499998,9.861683237,1.763031717,144.8676325,7.336450479,2359.87562575
Arkansas,1991,42.32304853729248,62.6666213861084,15262.461787109376,131.14209857499998,9.276699781,4.327781088,163.9789125,19.822081,2387.0601697499997
Arkansas,1992,45.98269175567627,63.2506525,16414.62060546875,135.4373534,12.491327047,11.000185544,162.6938725,27.956331,2421.152067
Arkansas,1993,48.73998233703613,63.3906925,16953.630546875,141.5759727,12.610467283,14.323225012,176.5626225,31.512373501,2460.8933159999997
Arkansas,1994,52.38202904296875,64.6127334967041,17723.140625,149.697875375,9.687871391,2.4305527749999998,181.9021775,31.436951999999998,2499.28020175
Arkansas,1995,55.2608225,64.75446108581544,18543.20333984375,156.72088055,9.77180478,4.14179103,172.0025225,31.466968461,2540.13780125
Arkansas,1996,58.40029,64.40283,19415.82490234375,162.378988875,10.566502553,4.2243214380000005,170.395125,23.728157654,2575.7875922499998
Arkansas,1997,60.41700241485596,63.29090654846191,20123.686953125,167.209839375,11.036315041,4.239549512,171.388595,17.309761935,2604.247781
Arkansas,1998,62.275000000000006,62.6428037625122,21163.197265625,173.382096125,13.983234167,12.065493764,178.947565,15.249467264,2629.3640917499997
Arkansas,1999,66.71500030883789,62.6288925,21801.3681640625,177.66637705,15.414264512,8.312829396,175.45455,18.451572706,2655.55667775
Arkansas,2000,68.809,62.10735,22770.3995703125,181.87067005,15.394847799,5.281080365,163.6279625,11.295376539,2680.13705225
Arkansas,2001,70.84900144165039,61.44233032165528,23838.74453125,191.5831008,16.792701473,17.364496442,170.7842125,3.13287531,2693.2937567500003
Arkansas,2002,74.0969975,61.920414846496584,24216.42705078125,197.975756025,16.863867055,20.122847828,170.6873425,7.262103371,2708.177
Arkansas,2003,78.7739975,61.479638709106446,25437.7472265625,206.10072077499998,21.173056685,30.214303212,173.10950499999998,12.988191561,2727.873265
Arkansas,2004,85.261,62.27930106994629,26769.433828125002,218.02638105,20.639161661,17.509529108,161.46575,17.924630059,2753.42757775
Arkansas,2005,90.31875,63.72445653717041,27863.1943359375,233.96780087500002,22.964551459,16.71869,153.200545,31.613620545,2789.775
Arkansas,2006,94.839,63.6765425,29269.5775,248.31451545,23.796599999999998,15.359622,143.039985,15.997752,2825.43275
Arkansas,2007,97.384,63.16476,30933.5975,255.641072475,23.073448,18.154345,146.4728475,10.156122,2852.0237500000003
Arkansas,2008,99.83775,62.85133,32111.52,254.721567125,18.196617,17.08091,159.56647750000002,9.838722,2877.1885
Arkansas,2009,98.02025,61.767642499999994,31337.35,251.4984651,18.041013,26.573774,183.711905,12.295658,2900.10175
Arkansas,2010,102.951,60.6696975,31775.927499999998,245.063571425,14.567495000000001,22.475202,194.0412275,12.040602,2923.9542500000002
Arkansas,2011,107.28725,60.4341975,33773.785,241.071638775,13.608774,17.388227,208.55769,3.9406232,2940.00875
Arkansas,2012,109.226,59.27217,36155.2175,242.31303685,15.440504,26.329798999999998,231.736785,0.7603544,2950.1475
Arkansas,2013,114.45649999999999,57.4726575,35996.0025,245.950159125,17.309638,20.395589,219.3279875,-0.2466686,2957.72175
Arkansas,2014,118.06775,56.999655000000004,37989.1775,249.26120997499999,16.556849,9.701311,214.0766975,1.4610212,2966.136
Arkansas,2015,119.32025,58.005902500000005,39039.5525,255.77841064999998,19.904536999999998,11.815468,215.6009025,4.1903498,2977.1515
Arkansas,2016,121.38275,58.112517499999996,39696.2025,263.790288625,23.412746,13.913181,216.7386075,6.085516,2990.14275
Arkansas,2017,126.9169,58.47486,40751.6475,274.2828507,24.770544,11.19566,207.7456425,8.50302,3006.063
Arkansas,2018,129.2659,58.734305,41206.380000000005,279.79779635,12.598464,4.782831,199.68669,2.0127607,3016.0935
California,1990,820.9619250000001,66.97198376708985,21448.889453125,229.06601452499999,364.8665104,65.27626861,68.28811075,243.32096658,30021.3736325
California,1991,837.55195,66.44433016113281,21775.38623046875,228.17967245,273.08299999999997,123.58607394,72.52401900000001,114.74509373,30538.2828125
California,1992,858.7321,66.40673,22614.85888671875,225.3399396,302.36068997,266.21088,84.87900375,42.161484869999995,31013.4675
California,1993,881.83455,65.89953249999999,22945.0527734375,216.79284485,293.10754,330.5204872,98.0955735,-116.33376368,31301.175447499998
California,1994,913.80195,65.74451373291015,23516.52392578125,206.186782175,398.5458985,236.0254998,101.329871,-135.04536429,31509.115725
California,1995,960.51905,65.51361642700195,24565.693359375,202.28245035,311.60607075,232.62454293,97.87182025,-61.460797711,31733.88623
